ID,Yas,Cinsiyet,Egitim,Medeni_Durum,FD1,FD2,FD3,FD4,FD5,FD6,FD7,FD8,KA1,KA2,KA3,KA4,KA5,KA6,KA7,KA8,OD1,OD2,OD3,OD4,OD5,OD6,OD7,OD8
19,,3.0,,2.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0
20,50.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,1.0,2.0,4.0,2.0,1.0,4.0,3.0,3.0
21,40.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,,3.0,3.0,3.0,2.0
22,32.0,1.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0
23,29.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,,4.0,3.0,2.0,2.0
24,29.0,2.0,5.0,9.0,5.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0
25,32.0,1.0,2.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,,4.0,2.0,2.0,,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0
26,47.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0
27,18.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0
28,26.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0
29,18.0,2.0,4.0,1.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
30,27.0,1.0,5.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,,2.0,3.0,2.0,,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,,2.0
31,24.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
32,29.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0
33,20.0,2.0,1.0,1.0,,2.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,4.0,2.0,3.0
34,27.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0
35,,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,,2.0,4.0,2.0,3.0,1.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0
36,18.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0
37,29.0,2.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,,2.0,3.0,4.0,3.0,3.0
38,41.0,2.0,5.0,1.0,4.0,4.0,4.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0
39,18.0,2.0,3.0,1.0,,5.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0
40,18.0,1.0,5.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,,3.0,2.0,3.0,3.0,4.0
41,31.0,,3.0,2.0,4.0,4.0,,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0
42,26.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0
43,27.0,1.0,,,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,,3.0,3.0,3.0,3.0,,4.0,
44,29.0,1.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0
45,21.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0
46,22.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,,2.0,3.0,1.0,3.0
47,29.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
48,18.0,2.0,4.0,3.0,5.0,4.0,5.0,4.0,2.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,,2.0,3.0,5.0,3.0,3.0,3.0
49,,2.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0
50,24.0,2.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0
51,32.0,,2.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0
52,40.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0
53,26.0,2.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0
54,22.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
55,32.0,1.0,3.0,,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0
56,18.0,1.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,,2.0,4.0
57,20.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0
58,25.0,1.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,,3.0,3.0,2.0,2.0,2.0,,2.0
59,28.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0
60,27.0,2.0,5.0,1.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0
61,18.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0
62,30.0,,4.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0
63,31.0,1.0,1.0,,4.0,,4.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0
64,22.0,1.0,4.0,1.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0
65,40.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,,4.0,3.0
66,24.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,4.0,4.0,2.0,4.0,3.0,1.0
67,28.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,3.0,4.0,,3.0,3.0,3.0,3.0,4.0,4.0
68,28.0,1.0,2.0,,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0
69,31.0,1.0,,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,,4.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0
70,20.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
71,29.0,1.0,4.0,1.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0
72,22.0,2.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0
73,20.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0
74,38.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0
75,18.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,
76,25.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,4.0,3.0,4.0,3.0,4.0,,2.0,3.0
77,18.0,2.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,4.0,3.0,3.0,1.0,3.0,4.0,3.0,2.0,3.0
78,22.0,1.0,5.0,1.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0
79,21.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0
80,40.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,1.0,1.0,5.0,2.0,3.0
81,22.0,1.0,3.0,2.0,3.0,4.0,,3.0,,3.0,3.0,3.0,4.0,4.0,4.0,,3.0,3.0,5.0,3.0,,3.0,5.0,3.0,3.0,3.0,3.0,2.0
82,18.0,1.0,5.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0
83,18.0,1.0,5.0,1.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,,3.0,3.0,2.0,3.0,3.0,2.0,4.0
84,,2.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
85,25.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,
86,29.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0
87,23.0,1.0,5.0,2.0,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0
88,23.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0
89,22.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0
90,18.0,1.0,4.0,1.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,,3.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0
91,44.0,1.0,2.0,1.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0
92,26.0,1.0,3.0,1.0,4.0,4.0,,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0
93,30.0,1.0,5.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0
94,33.0,1.0,5.0,3.0,3.0,3.0,,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
95,40.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,,2.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,
96,27.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0
97,18.0,1.0,5.0,1.0,4.0,5.0,5.0,5.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0
98,39.0,2.0,,1.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
99,25.0,1.0,5.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
100,21.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0
101,34.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0
102,18.0,2.0,3.0,,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0
103,26.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
104,27.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,,3.0,4.0,3.0,1.0
105,33.0,1.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,,4.0,3.0,2.0,3.0
106,23.0,1.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0
107,18.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,,3.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,,4.0,3.0,4.0,2.0
108,20.0,2.0,4.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0
109,29.0,1.0,4.0,1.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,4.0,5.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0
110,18.0,2.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,,3.0,2.0,3.0,4.0
111,29.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0
112,38.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0
113,26.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0
114,23.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,,3.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0
115,18.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
116,41.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
117,52.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,,3.0,2.0,,3.0,3.0,1.0,2.0
118,36.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0
119,45.0,2.0,5.0,3.0,,3.0,,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,,3.0,4.0,2.0,3.0,3.0,3.0,3.0
120,20.0,2.0,5.0,1.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0
121,28.0,2.0,4.0,,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0
122,23.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0
123,40.0,2.0,,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,,4.0,4.0,,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0
